record_date,workshop_code,tce,co2_t,cost_yuan,unit_energy_kgce
2024-01-01,W01,21.472402252900004,49.982016307600006,72798.46,94.99297587572222
2024-01-01,W02,20.0475099939,52.260673720999996,64599.13,71.02548021278405
2024-01-01,W03,20.352374156699998,46.006196219900005,61493.22,250.71910609909332
2024-01-01,W04,0.6102853611,2.5805776845999997,3449.9500000000003,2.6169928992585794
2024-01-01,W05,2.0566249310000004,6.4311092617,7679.85,5.177142237527408
2024-01-01,W06,0.38466376249999995,1.6272512475,2191.24,22.140195838609415
2024-01-01,W07,29.5289453961,51.332639794799995,82403.81999999999,66.53570568243782
2024-01-01,W08,0.1374263481,0.5929916667,775.0799999999999,0.23343085741366074
2024-01-02,W01,23.3008117634,55.162233162700005,80691.87,93.00310437298931
2024-01-02,W02,22.5969242925,56.912301324599994,72238.65,77.15578812902476
2024-01-02,W03,23.5799190462,53.4437193806,71772.66,252.5211403778192
2024-01-02,W04,2.9632791465999997,12.629827987499999,16960.45,0.6912229824103472
2024-01-02,W05,8.1353624918,26.2187341931,30962.57,1.212612650466824
2024-01-02,W06,1.8168177988,7.6540943916,10184.09,6.222234471279641
2024-01-02,W07,33.3444284031,57.7934253339,92987.37000000001,60.08070069784538
2024-01-02,W08,0.7367859501999999,3.1540087914,4181.070000000001,0.07253698617055199
2024-01-03,W01,23.041176193,53.0687865619,76446.02,91.31655659435165
2024-01-03,W02,23.4978144207,60.050732216899995,75291.18000000001,69.13684018400936
2024-01-03,W03,23.6710022848,54.186406708199996,71177.31,222.0106947486893
2024-01-03,W04,2.6480046233,11.2466206669,14916.64,0.6810201765505719
2024-01-03,W05,7.8612991301,25.1106886685,29109.08,1.2143571891041038
2024-01-03,W06,1.8514406942,7.841737919400001,10710.25,6.6315196004126244
2024-01-03,W07,29.413064376500003,51.3249824962,82676.14,51.952592901729574
2024-01-03,W08,0.7556452382,3.2595827274,4249.45,0.07721413430674268
2024-01-04,W01,24.047857046700003,55.0549239638,79134.38,83.97536403054812
2024-01-04,W02,21.437701997,55.0484435044,69885.11,61.722311947023684
2024-01-04,W03,24.1272395417,54.084151526899994,70877.82,237.28365714046873
2024-01-04,W04,2.6989170848,11.419431632600002,15634.8,0.6623718955241281
2024-01-04,W05,7.7694834965,25.0581135215,30074.54,1.0703634403051552
2024-01-04,W06,1.8368694347999999,7.7430840036,10340.640000000001,7.247262592076762
2024-01-04,W07,35.436902731,61.3638851825,98005.95,65.47620871996128
2024-01-04,W08,0.7522180456,3.2205205992000008,4166.5199999999995,0.07959506801765526
2024-01-05,W01,24.0972145704,54.9874380081,79968.58,87.66608302100954
2024-01-05,W02,21.1831829575,54.3250219022,68065.65,70.08659574415289
2024-01-05,W03,22.9569263813,52.7650197139,69243.2,248.01674965212507
2024-01-05,W04,2.7111338374,11.5369378961,15607.72,0.6418648621313454
2024-01-05,W05,7.738986933800001,24.916733685700006,29670.34,1.2309806384344968
2024-01-05,W06,1.8509708672,7.9043397504,10399.51,6.474121877699779
2024-01-05,W07,29.7888651305,52.092024496,85141.47,55.434964494404184
2024-01-05,W08,0.8023608690999999,3.4603973337,4467.5,0.07983552811478965
2024-01-06,W01,23.2864221378,54.456013135,77969.84,94.49814601699524
2024-01-06,W02,21.482359363900002,55.67579835560001,69724.89,64.41120105271365
2024-01-06,W03,22.141349824700004,51.436424247299996,68552.61,224.35024292691332
2024-01-06,W04,1.9058032664999998,8.0731880941,10859.789999999999,0.7705165203100173
2024-01-06,W05,5.3538536458,16.858586146399997,20270.36,1.2860010006293265
2024-01-06,W06,1.2174138061999997,5.1116433834,6974.58,8.202657419298326
2024-01-06,W07,31.5147272817,54.5099482292,88897.34,62.85020577652536
2024-01-06,W08,0.5360148985,2.3058169995,2998.66,0.08877423063367801
2024-01-07,W01,22.922630165200005,53.8827100404,77512.90000000001,87.6807065871562
2024-01-07,W02,19.438990096599998,51.1601585138,63448.91,63.32166109619919
2024-01-07,W03,23.2949879419,52.192488595499995,69687.16,273.9201103194854
2024-01-07,W04,0.8783361814,3.7196711146,5006.12,1.005774901894324
2024-01-07,W05,2.9536736338000003,9.537732706499998,11269.869999999999,2.1630204446325685
2024-01-07,W06,0.6054516245,2.5693754415000005,3478.11,11.77715233713941
2024-01-07,W07,33.4870202978,57.858246355199995,94245.65999999999,67.75196870021588
2024-01-07,W08,0.24539147309999998,1.0562178417,1350.0700000000002,0.1279625470229162
2024-01-08,W01,22.873944333300003,53.8181163065,77068.69,87.73072551691604
2024-01-08,W02,21.685677605,56.8693596061,71384.83,65.143086832706
2024-01-08,W03,23.8283659603,52.9849806229,70766.85,259.97322583436073
2024-01-08,W04,2.810232856,11.917926680699999,16027.45,0.681953500449057
2024-01-08,W05,7.4910192696,23.728350877999997,28477.3,1.1310102819757948
2024-01-08,W06,1.8064321857,7.5750285699,10090.9,7.5919970484031625
2024-01-08,W07,31.3706021602,54.33893039629999,87579.20999999999,59.42358553971757
2024-01-08,W08,0.8390424304,3.6178554527999998,4747.5,0.08277811303465397
2024-01-09,W01,23.217662609100003,53.9558001635,77743.66,93.47750640800075
